,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
347115,H.R. 7593,https://www.congress.gov/bill/117th-congress/house-bill/7593,117th Congress (2021-2022),Access for All Communities Act of 2022,"Rep. Tonko, Paul [D-NY-20]",2022-04-26,,"House - Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,April,2022
347116,H.R. 7590,https://www.congress.gov/bill/117th-congress/house-bill/7590,117th Congress (2021-2022),Economic Development Promotion and Resiliency Act,"Rep. Titus, Dina [D-NV-1]",2022-04-26,,"House - Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,April,2022
347117,H.R. 7576,https://www.congress.gov/bill/117th-congress/house-bill/7576,117th Congress (2021-2022),Securing Semiconductor Supply Chains Act of 2022,"Rep. Eshoo, Anna G. [D-CA-18]",2022-04-26,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,April,2022
347118,H.R. 7572,https://www.congress.gov/bill/117th-congress/house-bill/7572,117th Congress (2021-2022),"University Centers for Growth, Development, Prosperity (GDP) Act","Rep. Aguilar, Pete [D-CA-31]",2022-04-26,,"House - Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,April,2022
347119,H.R. 7550,https://www.congress.gov/bill/117th-congress/house-bill/7550,117th Congress (2021-2022),Oil and Gas Industry Antitrust Act,"Rep. Demings, Val Butler [D-FL-10]",2022-04-21,,"House - Energy and Commerce, Judiciary",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,April,2022
347120,H.R. 7463,https://www.congress.gov/bill/117th-congress/house-bill/7463,117th Congress (2021-2022),Gas Price Gouging Prevention Act,"Rep. Harder, Josh [D-CA-10]",2022-04-07,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,April,2022
347121,H.R. 7451,https://www.congress.gov/bill/117th-congress/house-bill/7451,117th Congress (2021-2022),Revitalizing Small and Local Businesses Act,"Rep. Carter, Troy [D-LA-2]",2022-04-07,,"House - Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,April,2022
347122,H.R. 7352,https://www.congress.gov/bill/117th-congress/house-bill/7352,117th Congress (2021-2022),PPP and Bank Fraud Enforcement Harmonization Act of 2022,"Rep. Velazquez, Nydia M. [D-NY-7]",2022-03-31,,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,introduced,Democrat,March,2022
347123,H.R. 7280,https://www.congress.gov/bill/117th-congress/house-bill/7280,117th Congress (2021-2022),Prison to Proprietorship Act,"Rep. Velazquez, Nydia M. [D-NY-7]",2022-03-29,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Democrat,March,2022
347124,H.R. 7273,https://www.congress.gov/bill/117th-congress/house-bill/7273,117th Congress (2021-2022),Prison to Proprietorship for Formerly Incarcerated Act,"Rep. Jeffries, Hakeem S. [D-NY-8]",2022-03-29,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Democrat,March,2022
347125,H.R. 7101,https://www.congress.gov/bill/117th-congress/house-bill/7101,117th Congress (2021-2022),Prohibiting Anticompetitive Mergers Act of 2022,"Rep. Jones, Mondaire [D-NY-17]",2022-03-16,,"House - Judiciary, Energy and Commerce",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,March,2022
347126,H.R. 7085,https://www.congress.gov/bill/117th-congress/house-bill/7085,117th Congress (2021-2022),"To amend the Public Works and Economic Development Act of 1965 to authorize the Secretary of Commerce to make predevelopment grants, and for other purposes.","Rep. Carter, Troy [D-LA-2]",2022-03-15,,"House - Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,March,2022
347127,H.R. 7030,https://www.congress.gov/bill/117th-congress/house-bill/7030,117th Congress (2021-2022),Open App Markets Act,"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]",2022-03-09,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Democrat,March,2022
347128,H.R. 6965,https://www.congress.gov/bill/117th-congress/house-bill/6965,117th Congress (2021-2022),Visit America Act,"Rep. Titus, Dina [D-NV-1]",2022-03-07,,"House - Energy and Commerce, Foreign Affairs, Judiciary",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,March,2022
347129,H.R. 6923,https://www.congress.gov/bill/117th-congress/house-bill/6923,117th Congress (2021-2022),Accelerating Small Business Growth Act,"Rep. Gomez, Jimmy [D-CA-34]",2022-03-03,,"House - Transportation and Infrastructure, Small Business",Referred to the Subcommittee on Highways and Transit.,introduced,Democrat,March,2022
347130,H.R. 6921,https://www.congress.gov/bill/117th-congress/house-bill/6921,117th Congress (2021-2022),Small Business Energy Loan Enhancement Act,"Rep. Crow, Jason [D-CO-6]",2022-03-03,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Democrat,March,2022
347131,H.R. 6864,https://www.congress.gov/bill/117th-congress/house-bill/6864,117th Congress (2021-2022),Ocean Shipping Antitrust Enforcement Act,"Rep. Costa, Jim [D-CA-16]",2022-02-28,,"House - Judiciary, Transportation and Infrastructure",Referred to the Subcommittee on Coast Guard and Maritime Transportation.,introduced,Democrat,February,2022
347132,H.R. 6796,https://www.congress.gov/bill/117th-congress/house-bill/6796,117th Congress (2021-2022),Digital Services Oversight and Safety Act of 2022,"Rep. Trahan, Lori [D-MA-3]",2022-02-18,,"House - Energy and Commerce, Education and Labor, Judiciary",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
347133,H.R. 6769,https://www.congress.gov/bill/117th-congress/house-bill/6769,117th Congress (2021-2022),Pro Codes Act,"Rep. Deutch, Theodore E. [D-FL-22]",2022-02-18,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Democrat,February,2022
347134,H.R. 6760,https://www.congress.gov/bill/117th-congress/house-bill/6760,117th Congress (2021-2022),Made in America Manufacturing Communities Act of 2022,"Rep. Cicilline, David N. [D-RI-1]",2022-02-18,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Democrat,February,2022
347135,H.R. 6752,https://www.congress.gov/bill/117th-congress/house-bill/6752,117th Congress (2021-2022),DELETE Act,"Rep. Trahan, Lori [D-MA-3]",2022-02-15,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
347136,H.R. 6615,https://www.congress.gov/bill/117th-congress/house-bill/6615,117th Congress (2021-2022),Safer Heat Act of 2022,"Rep. Torres, Ritchie [D-NY-15]",2022-02-04,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
347137,H.R. 6580,https://www.congress.gov/bill/117th-congress/house-bill/6580,117th Congress (2021-2022),Algorithmic Accountability Act of 2022,"Rep. Clarke, Yvette D. [D-NY-9]",2022-02-03,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
347138,H.R. 6570,https://www.congress.gov/bill/117th-congress/house-bill/6570,117th Congress (2021-2022),REPAIR Act.,"Rep. Rush, Bobby L. [D-IL-1]",2022-02-02,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
347139,H.R. 6566,https://www.congress.gov/bill/117th-congress/house-bill/6566,117th Congress (2021-2022),Freedom to Repair Act of 2022,"Rep. Jones, Mondaire [D-NY-17]",2022-02-02,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Democrat,February,2022
347140,H.R. 6551,https://www.congress.gov/bill/117th-congress/house-bill/6551,117th Congress (2021-2022),"To provide a private right of action for persons harmed by violations of the Franchise Rule of the Federal Trade Commission, and for other purposes.","Rep. Schakowsky, Janice D. [D-IL-9]",2022-02-01,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Democrat,February,2022
347141,H.R. 6478,https://www.congress.gov/bill/117th-congress/house-bill/6478,117th Congress (2021-2022),Supply Chain Resiliency Act,"Rep. Axne, Cynthia [D-IA-3]",2022-01-25,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,January,2022
347142,H.R. 6445,https://www.congress.gov/bill/117th-congress/house-bill/6445,117th Congress (2021-2022),Small Business Development Centers Improvement Act of 2022,"Rep. Golden, Jared F. [D-ME-2]",2022-01-20,,"House - Small Business, Budget | Senate - Small Business and Entrepreneurship",Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,introduced,Democrat,January,2022
347143,H.R. 6441,https://www.congress.gov/bill/117th-congress/house-bill/6441,117th Congress (2021-2022),Women’s Business Centers Improvement Act of 2022,"Rep. Davids, Sharice [D-KS-3]",2022-01-20,,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,introduced,Democrat,January,2022
347144,H.R. 6416,https://www.congress.gov/bill/117th-congress/house-bill/6416,117th Congress (2021-2022),Banning Surveillance Advertising Act of 2022,"Rep. Eshoo, Anna G. [D-CA-18]",2022-01-18,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,January,2022
347145,H.R. 6407,https://www.congress.gov/bill/117th-congress/house-bill/6407,117th Congress (2021-2022),TLDR Act,"Rep. Trahan, Lori [D-MA-3]",2022-01-13,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,January,2022
347146,H.R. 6381,https://www.congress.gov/bill/117th-congress/house-bill/6381,117th Congress (2021-2022),CREATE Act of 2022,"Rep. Dingell, Debbie [D-MI-12]",2022-01-12,,"House - Small Business, Transportation and Infrastructure, Financial Services","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Democrat,January,2022
347147,H.R. 6359,https://www.congress.gov/bill/117th-congress/house-bill/6359,117th Congress (2021-2022),Investing in Domestic Semiconductor Manufacturing Act,"Rep. Eshoo, Anna G. [D-CA-18]",2022-01-06,,"House - Energy and Commerce, Science, Space, and Technology",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,January,2022
348486,H.R. 8429,https://www.congress.gov/bill/117th-congress/house-bill/8429,117th Congress (2021-2022),Summer Meals and Learning Act of 2022,"Rep. Morelle, Joseph D. [D-NY-25]",2022-07-19,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,July,2022
348487,H.R. 8150,https://www.congress.gov/bill/117th-congress/house-bill/8150,117th Congress (2021-2022),Keep Kids Fed Act of 2022,"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",2022-06-21,,"House - Education and Labor, Appropriations, Small Business, Agriculture","Referred to the Committee on Education and Labor, and in addition to the Committees on Appropriations, Small Business, and Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,June,2022
348488,H.R. 8085,https://www.congress.gov/bill/117th-congress/house-bill/8085,117th Congress (2021-2022),DRIP Act of 2022,"Rep. O'Halleran, Tom [D-AZ-1]",2022-06-15,,House - Agriculture,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Democrat,June,2022
348489,H.R. 8018,https://www.congress.gov/bill/117th-congress/house-bill/8018,117th Congress (2021-2022),Healthy H2O Act,"Rep. Pingree, Chellie [D-ME-1]",2022-06-09,,House - Agriculture,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit.",introduced,Democrat,June,2022
348490,H.R. 7813,https://www.congress.gov/bill/117th-congress/house-bill/7813,117th Congress (2021-2022),Cacao Tree Health Initiative Act of 2022,"Rep. Kahele, Kaiali'i [D-HI-2]",2022-05-18,,House - Agriculture,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Democrat,May,2022
348491,H.R. 7812,https://www.congress.gov/bill/117th-congress/house-bill/7812,117th Congress (2021-2022),Floriculture and Nursery Plant Health Initiative Act of 2022,"Rep. Kahele, Kaiali'i [D-HI-2]",2022-05-18,,House - Agriculture,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Democrat,May,2022
348492,H.R. 7791,https://www.congress.gov/bill/117th-congress/house-bill/7791,117th Congress (2021-2022),Access to Baby Formula Act of 2022,"Rep. Hayes, Jahana [D-CT-5]",2022-05-17,,House - Education and Labor,Became Public Law No: 117-129.,became law,Democrat,May,2022
348493,H.R. 7790,https://www.congress.gov/bill/117th-congress/house-bill/7790,117th Congress (2021-2022),"Infant Formula Supplemental Appropriations Act, 2022","Rep. DeLauro, Rosa L. [D-CT-3]",2022-05-17,,"House - Appropriations, Budget",Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 374.,introduced,Democrat,May,2022
348494,H.R. 7675,https://www.congress.gov/bill/117th-congress/house-bill/7675,117th Congress (2021-2022),"To amend the Department of Agriculture Reorganization Act of 1994 to establish an Agricultural and Food System Supply Chain Resilience and Crisis Response Task Force, and for other purposes.","Rep. Craig, Angie [D-MN-2]",2022-05-06,,House - Agriculture,"Placed on the Union Calendar, Calendar No. 283.",introduced,Democrat,May,2022
348495,H.R. 7606,https://www.congress.gov/bill/117th-congress/house-bill/7606,117th Congress (2021-2022),Meat and Poultry Special Investigator Act of 2022,"Rep. Spanberger, Abigail Davis [D-VA-7]",2022-04-27,,"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry","Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",introduced,Democrat,April,2022
348496,H.R. 7272,https://www.congress.gov/bill/117th-congress/house-bill/7272,117th Congress (2021-2022),Feed Hungry Veterans Act of 2022,"Rep. Hayes, Jahana [D-CT-5]",2022-03-29,,House - Agriculture,"Referred to the Subcommittee on Nutrition, Oversight, and Department Operations.",introduced,Democrat,March,2022
348497,H.R. 7038,https://www.congress.gov/bill/117th-congress/house-bill/7038,117th Congress (2021-2022),Hunger Clearinghouse Enhancement Act of 2022,"Rep. Morelle, Joseph D. [D-NY-25]",2022-03-09,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
348498,H.R. 7027,https://www.congress.gov/bill/117th-congress/house-bill/7027,117th Congress (2021-2022),School Hunger Elimination Act of 2022,"Rep. Hayes, Jahana [D-CT-5]",2022-03-09,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
348499,H.R. 7019,https://www.congress.gov/bill/117th-congress/house-bill/7019,117th Congress (2021-2022),Rural Prosperity Act of 2022,"Rep. Craig, Angie [D-MN-2]",2022-03-09,,House - Agriculture,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit.",introduced,Democrat,March,2022
348500,H.R. 6935,https://www.congress.gov/bill/117th-congress/house-bill/6935,117th Congress (2021-2022),Voluntary Grazing Permit Retirement Act,"Rep. Smith, Adam [D-WA-9]",2022-03-03,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Democrat,March,2022
348501,H.R. 6781,https://www.congress.gov/bill/117th-congress/house-bill/6781,117th Congress (2021-2022),MODERN WIC Act of 2022,"Rep. Levin, Andy [D-MI-9]",2022-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
348502,H.R. 6743,https://www.congress.gov/bill/117th-congress/house-bill/6743,117th Congress (2021-2022),LUNCHES Act of 2022,"Rep. McGovern, James P. [D-MA-2]",2022-02-15,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
348503,H.R. 6718,https://www.congress.gov/bill/117th-congress/house-bill/6718,117th Congress (2021-2022),Healthy Breakfasts Help Kids Learn Act of 2022,"Rep. McGovern, James P. [D-MA-2]",2022-02-11,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
348504,H.R. 6645,https://www.congress.gov/bill/117th-congress/house-bill/6645,117th Congress (2021-2022),Hemp Advancement Act of 2022,"Rep. Pingree, Chellie [D-ME-1]",2022-02-08,,"House - Agriculture, Energy and Commerce, Judiciary","Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Democrat,February,2022
348505,H.R. 6613,https://www.congress.gov/bill/117th-congress/house-bill/6613,117th Congress (2021-2022),Keeping School Meals Flexible Act,"Rep. Spanberger, Abigail Davis [D-VA-7]",2022-02-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
348506,H.R. 6608,https://www.congress.gov/bill/117th-congress/house-bill/6608,117th Congress (2021-2022),Scratch Cooked Meals for Students Act,"Rep. Hayes, Jahana [D-CT-5]",2022-02-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
348507,H.R. 6526,https://www.congress.gov/bill/117th-congress/house-bill/6526,117th Congress (2021-2022),Healthy Meal Time Act of 2022,"Rep. Schrier, Kim [D-WA-8]",2022-01-28,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,January,2022
348508,H.R. 6432,https://www.congress.gov/bill/117th-congress/house-bill/6432,117th Congress (2021-2022),SNAP Second Chance Act of 2022,"Rep. Trone, David J. [D-MD-6]",2022-01-19,,House - Agriculture,"Referred to the Subcommittee on Nutrition, Oversight, and Department Operations.",introduced,Democrat,January,2022
348509,H.R. 6408,https://www.congress.gov/bill/117th-congress/house-bill/6408,117th Congress (2021-2022),AGRITOURISM Act,"Rep. Wexton, Jennifer [D-VA-10]",2022-01-13,,House - Agriculture,Referred to the House Committee on Agriculture.,introduced,Democrat,January,2022
348510,H.R. 6362,https://www.congress.gov/bill/117th-congress/house-bill/6362,117th Congress (2021-2022),McIntire-Stennis Act District of Columbia Equality Act,"Del. Norton, Eleanor Holmes [D-DC-At Large]",2022-01-06,,House - Agriculture,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Democrat,January,2022
348511,H.R. 6357,https://www.congress.gov/bill/117th-congress/house-bill/6357,117th Congress (2021-2022),Afterschool Meals Act of 2022,"Rep. Brown, Shontel M. [D-OH-11]",2022-01-06,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,January,2022
349673,H.R. 8395,https://www.congress.gov/bill/117th-congress/house-bill/8395,117th Congress (2021-2022),EPA Regulatory Authority Act of 2022,"Rep. Ocasio-Cortez, Alexandria [D-NY-14]",2022-07-15,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,July,2022
349674,H.R. 8352,https://www.congress.gov/bill/117th-congress/house-bill/8352,117th Congress (2021-2022),Public Health Air Quality Act of 2022,"Rep. Blunt Rochester, Lisa [D-DE-At Large]",2022-07-13,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,July,2022
349675,H.R. 8336,https://www.congress.gov/bill/117th-congress/house-bill/8336,117th Congress (2021-2022),Clean Shipping Act of 2022,"Rep. Lowenthal, Alan S. [D-CA-47]",2022-07-12,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,July,2022
349676,H.R. 8138,https://www.congress.gov/bill/117th-congress/house-bill/8138,117th Congress (2021-2022),Lake Champlain Basin Program Reauthorization Act of 2022,"Rep. Welch, Peter [D-VT-At Large]",2022-06-16,,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,introduced,Democrat,June,2022
349677,H.R. 8059,https://www.congress.gov/bill/117th-congress/house-bill/8059,117th Congress (2021-2022),Recycling and Composting Accountability Act,"Rep. Neguse, Joe [D-CO-2]",2022-06-14,,House - Energy and Commerce,Referred to the Subcommittee on Environment and Climate Change.,introduced,Democrat,June,2022
349678,H.R. 8013,https://www.congress.gov/bill/117th-congress/house-bill/8013,117th Congress (2021-2022),REMOVE Act of 2022,"Rep. Kuster, Ann M. [D-NH-2]",2022-06-09,,"House - Science, Space, and Technology, Energy and Commerce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,June,2022
349679,H.R. 7937,https://www.congress.gov/bill/117th-congress/house-bill/7937,117th Congress (2021-2022),RENEW Our Abandoned Mine Lands Act,"Rep. Lamb, Conor [D-PA-17]",2022-06-03,,House - Natural Resources,Subcommittee Hearings Held.,introduced,Democrat,June,2022
349680,H.R. 7897,https://www.congress.gov/bill/117th-congress/house-bill/7897,117th Congress (2021-2022),PFAS Reference Standards Act,"Rep. Sarbanes, John P. [D-MD-3]",2022-05-27,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,May,2022
349681,H.R. 7879,https://www.congress.gov/bill/117th-congress/house-bill/7879,117th Congress (2021-2022),"To require the Comptroller General of the United States to study radiological contamination in Coldwater Creek, and for other purposes.","Rep. Bush, Cori [D-MO-1]",2022-05-27,,"House - Energy and Commerce, Armed Services","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,May,2022
349682,H.R. 7861,https://www.congress.gov/bill/117th-congress/house-bill/7861,117th Congress (2021-2022),Plastic Pellet Free Waters Act,"Rep. Lowenthal, Alan S. [D-CA-47]",2022-05-20,,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,introduced,Democrat,May,2022
349683,H.R. 7847,https://www.congress.gov/bill/117th-congress/house-bill/7847,117th Congress (2021-2022),"Water Efficiency, Conservation, and Sustainability Act of 2022","Rep. McNerney, Jerry [D-CA-9]",2022-05-19,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,May,2022
349684,H.R. 7810,https://www.congress.gov/bill/117th-congress/house-bill/7810,117th Congress (2021-2022),Alan Reinstein Ban Asbestos Now Act of 2022,"Rep. Bonamici, Suzanne [D-OR-1]",2022-05-18,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Democrat,May,2022
349685,H.R. 7696,https://www.congress.gov/bill/117th-congress/house-bill/7696,117th Congress (2021-2022),Clean Water Standards for PFAS 2.0 Act of 2022,"Rep. Pappas, Chris [D-NH-1]",2022-05-10,,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,introduced,Democrat,May,2022
349686,H.R. 7597,https://www.congress.gov/bill/117th-congress/house-bill/7597,117th Congress (2021-2022),PFAS Firefighter Protection Act,"Rep. Kildee, Daniel T. [D-MI-5]",2022-04-27,,"House - Energy and Commerce, Transportation and Infrastructure",Referred to the Subcommittee on Aviation.,introduced,Democrat,April,2022
349687,H.R. 7486,https://www.congress.gov/bill/117th-congress/house-bill/7486,117th Congress (2021-2022),No Child Left Inside Act of 2022,"Rep. Sarbanes, John P. [D-MD-3]",2022-04-07,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
349688,H.R. 7434,https://www.congress.gov/bill/117th-congress/house-bill/7434,117th Congress (2021-2022),Federal Carbon Dioxide Removal Leadership Act of 2022,"Rep. Tonko, Paul [D-NY-20]",2022-04-07,,House - Energy and Commerce,Referred to the Subcommittee on Energy.,introduced,Democrat,April,2022
349689,H.R. 7289,https://www.congress.gov/bill/117th-congress/house-bill/7289,117th Congress (2021-2022),Federal PFAS Research Evaluation Act,"Rep. Fletcher, Lizzie [D-TX-7]",2022-03-30,,"House - Science, Space, and Technology","Placed on the Union Calendar, Calendar No. 313.",introduced,Democrat,March,2022
349690,H.R. 7283,https://www.congress.gov/bill/117th-congress/house-bill/7283,117th Congress (2021-2022),STREAM Act,"Rep. Cartwright, Matt [D-PA-8]",2022-03-30,,House - Natural Resources,Ordered to be Reported in the Nature of a Substitute (Amended) by Voice Vote.,introduced,Democrat,March,2022
349691,H.R. 7142,https://www.congress.gov/bill/117th-congress/house-bill/7142,117th Congress (2021-2022),PROTECT Act of 2022,"Rep. Stevens, Haley M. [D-MI-11]",2022-03-17,,House - Energy and Commerce,Referred to the Subcommittee on Environment and Climate Change.,introduced,Democrat,March,2022
349692,H.R. 7131,https://www.congress.gov/bill/117th-congress/house-bill/7131,117th Congress (2021-2022),Great Lakes Authority Act of 2022,"Rep. Kaptur, Marcy [D-OH-9]",2022-03-17,,"House - Transportation and Infrastructure, Financial Services",Sponsor introductory remarks on measure. (CR H4011-4012),introduced,Democrat,March,2022
349693,H.R. 7119,https://www.congress.gov/bill/117th-congress/house-bill/7119,117th Congress (2021-2022),Water Design-Build Improvement Act of 2022,"Rep. Davids, Sharice [D-KS-3]",2022-03-17,,"House - Transportation and Infrastructure, Energy and Commerce",Referred to the Subcommittee on Water Resources and Environment.,introduced,Democrat,March,2022
349694,H.R. 6737,https://www.congress.gov/bill/117th-congress/house-bill/6737,117th Congress (2021-2022),Flint Registry Reauthorization Act,"Rep. Kildee, Daniel T. [D-MI-5]",2022-02-15,,House - Energy and Commerce,Referred to the Subcommittee on Environment and Climate Change.,introduced,Democrat,February,2022
349695,H.R. 6492,https://www.congress.gov/bill/117th-congress/house-bill/6492,117th Congress (2021-2022),Climate Resilience Workforce Act,"Rep. Jayapal, Pramila [D-WA-7]",2022-01-25,,"House - Education and Labor, Energy and Commerce, Oversight and Reform, Judiciary, Transportation and Infrastructure, Ways and Means, Agriculture, Natural Resources, Financial Services",Referred to the Subcommittee on Conservation and Forestry.,introduced,Democrat,January,2022
349696,H.R. 6477,https://www.congress.gov/bill/117th-congress/house-bill/6477,117th Congress (2021-2022),Combating Wildlife Trafficking Financing and Proceeds Study Act,"Rep. Dean, Madeleine [D-PA-4]",2022-01-25,,"House - Natural Resources, Financial Services","Referred to the Committee on Natural Resources, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,January,2022
349697,H.R. 6461,https://www.congress.gov/bill/117th-congress/house-bill/6461,117th Congress (2021-2022),National Climate Adaptation and Resilience Strategy Act,"Rep. Peters, Scott H. [D-CA-52]",2022-01-20,,House - Energy and Commerce,Referred to the Subcommittee on Environment and Climate Change.,introduced,Democrat,January,2022
350667,H.R. 8345,https://www.congress.gov/bill/117th-congress/house-bill/8345,117th Congress (2021-2022),Locked Out Workers Healthcare Protection Act,"Rep. Axne, Cynthia [D-IA-3]",2022-07-13,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,July,2022
350668,H.R. 8148,https://www.congress.gov/bill/117th-congress/house-bill/8148,117th Congress (2021-2022),Fair Warning Act of 2022,"Rep. Ryan, Tim [D-OH-13]",2022-06-17,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,June,2022
350669,H.R. 8146,https://www.congress.gov/bill/117th-congress/house-bill/8146,117th Congress (2021-2022),Accountability for Workplace Misconduct Act,"Rep. Maloney, Carolyn B. [D-NY-12]",2022-06-17,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,June,2022
350670,H.R. 8145,https://www.congress.gov/bill/117th-congress/house-bill/8145,117th Congress (2021-2022),Professional Images Protection Act,"Rep. Maloney, Carolyn B. [D-NY-12]",2022-06-17,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,June,2022
350671,H.R. 8086,https://www.congress.gov/bill/117th-congress/house-bill/8086,117th Congress (2021-2022),Conservation Jobs Act of 2022,"Rep. O'Halleran, Tom [D-AZ-1]",2022-06-15,,"House - Education and Labor, Oversight and Reform","Referred to the Committee on Education and Labor, and in addition to the Committee on Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,June,2022
